RYN,Rayonier Inc. REIT Common Stock,Real Estate Investment Trusts
PBPB,Potbelly Corporation Common Stock,Restaurants
AMCR,Amcor plc Ordinary Shares,Miscellaneous manufacturing industries
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate Investment Trusts
PAAS,Pan American Silver Corp. Common Stock,Precious Metals
GBL,Gamco Investors Inc. Common Stock,Investment Bankers/Brokers/Service
MRUS,Merus N.V. Common Shares,Major Pharmaceuticals
RSF,RiverNorth Specialty Finance Corporation,
WRE,Washington Real Estate Investment Trust Common Stock,
DCP,DCP Midstream  LP Common Units,Natural Gas Distribution
VERB,Verb Technology Company Inc. Common Stock,Other Consumer Services
NXQ,Nuveen Select Tax Free Income Portfolio II Common Stock,
FNWB,First Northwest Bancorp Common Stock,Banks
RCUS,Arcus Biosciences Inc. Common Stock,Major Pharmaceuticals
MLI,Mueller Industries Inc. Common Stock,Metal Fabrications
PESI,Perma-Fix Environmental Services Inc. Common Stock,Environmental Services
SSD,Simpson Manufacturing Company Inc. Common Stock,Industrial Machinery/Components
MSP,Datto Holding Corp. Common Stock,Computer Software: Prepackaged Software
SPR,Spirit Aerosystems Holdings Inc. Common Stock,Military/Government/Technical
ABEO,Abeona Therapeutics Inc. Common Stock,Major Pharmaceuticals
CRH,CRH PLC American Depositary Shares,Building Materials
ATNF,180 Life Sciences Corp. Common Stock,Major Pharmaceuticals
STWO,ACON S2 Acquisition Corp. Class A Ordinary Shares,Business Services
LATN,Union Acquisition Corp. II Ordinary Shares,Business Services
VBIV,VBI Vaccines Inc. New Common Stock (Canada),Major Pharmaceuticals
OPI,Office Properties Income Trust Common Shares of Beneficial Interest,Real Estate
FTDR,frontdoor inc. Common Stock,Diversified Commercial Services
FRLN,Freeline Therapeutics Holdings plc American Depositary Shares,Biotechnology: Biological Products (No Diagnostic Substances)
TEX,Terex Corporation Common Stock,Construction/Ag Equipment/Trucks
RWT,Redwood Trust Inc. Common Stock,Real Estate Investment Trusts
SMIT,Schmitt Industries Inc. Common Stock,Industrial Machinery/Components
